form,id,number,domain,subdomain,type,units,handbook,code,edition_lock,cognitive,answer,miss_type
A,FPE-2027-A-001,1,1,1.A,mcq4,US,"HB §2.2 Risk Analysis","",,apply,B,arithmetic
A,FPE-2027-A-002,2,1,1.B,mcq4,SI,"HB §3.6 Compartment Fires","",,analyze,B,concept
A,FPE-2027-A-003,3,1,1.C,mcq4,US,"HB §2.1 General Fire Safety","NFPA 855-2023 §4.4 / §4.9 / §9.6.5.6",NFPA 855-2023,apply,B,code-edition
A,FPE-2027-A-004,4,1,1.A,mcq4,US,"HB §3.5 Flammable and Combustible Liquids Fires","NFPA 30-2024 §4.3 / §6.4.1.3",NFPA 30-2024,apply,A,code-edition
A,FPE-2027-A-005,5,1,1.B,mcq4,SI,"HB §6.2 Heat Detector RTI","",,analyze,B,concept
A,FPE-2027-A-006,6,1,1.A,mcq4,US,"HB §2.2 Risk Analysis","",,apply,A,arithmetic
A,FPE-2027-A-007,7,1,1.C,mcq4,none,"HB §2.1 General Fire Safety","NFPA 855-2023",NFPA 855-2023,apply,A,concept
A,FPE-2027-A-008,8,1,1.B,mcq4,US,"HB §2.4 Fire Protection Analysis—Information Sources","NFPA 13-2022",NFPA 13-2022,analyze,B,handbook-search
A,FPE-2027-A-009,9,2,2.A,mcq4,SI,"HB §3.3 Heat Transfer","",,apply,A,arithmetic
A,FPE-2027-A-010,10,2,2.A,mcq4,US,"HB §3.3 Heat Transfer","",,apply,A,arithmetic
A,FPE-2027-A-011,11,2,2.C,mcq4,US,"HB §3.2 Fire Growth and Heat Release Rates","",,apply,A,arithmetic
A,FPE-2027-A-012,12,2,2.B,mcq4,SI,"HB §3.2 Fire Growth and Heat Release Rates","",,apply,A,arithmetic
A,FPE-2027-A-013,13,2,2.A,mcq4,SI,"HB §3.3 Heat Transfer","",,apply,A,arithmetic
A,FPE-2027-A-014,14,2,2.C,mcq4,SI,"HB §3.6 Compartment Fires","",,apply,A,arithmetic
A,FPE-2027-A-015,15,2,2.C,mcq4,US,"HB §3.2 Fire Growth and Heat Release Rates","",,apply,A,arithmetic
A,FPE-2027-A-016,16,1,1.A,mcq4,none,"HB §2.1 General Fire Safety","NFPA 101-2024",NFPA 101-2024,analyze,D,concept
A,FPE-2027-A-017,17,1,1.B,mcq4,SI,"HB §3.6 Compartment Fires","",,analyze,A,concept
A,FPE-2027-A-018,18,1,1.C,mcq4,US,"HB §2.1 General Fire Safety","NFPA 855-2023 §9.6.5.6",NFPA 855-2023,apply,B,code-edition
A,FPE-2027-A-019,19,1,1.A,mcq4,none,"HB §10.2 Evacuation Movement","NFPA 101-2024",NFPA 101-2024,analyze,C,concept
A,FPE-2027-A-020,20,2,2.A,mcq4,SI,"HB §3.3 Heat Transfer","",,apply,D,arithmetic
A,FPE-2027-A-021,21,2,2.B,mcq4,US,"HB §3.2 Fire Growth and Heat Release Rates","",,apply,A,arithmetic
A,FPE-2027-A-022,22,2,2.C,mcq4,SI,"HB §3.2 Fire Growth and Heat Release Rates","",,apply,B,arithmetic
A,FPE-2027-A-023,23,2,2.A,mcq4,US,"HB §3.3 Heat Transfer","",,apply,C,arithmetic
A,FPE-2027-A-024,24,2,2.C,mcq4,SI,"HB §3.2 Fire Growth and Heat Release Rates","",,apply,D,arithmetic
A,FPE-2027-A-025,25,3,3.A,mcq4,none,"HB §7.1 Fundamentals","NFPA 92-2024 Ch. 4",NFPA 92-2024,apply,A,concept
A,FPE-2027-A-026,26,3,3.A,mcq4,SI,"HB §7.1 Fundamentals","NFPA 92-2024",NFPA 92-2024,apply,B,concept
A,FPE-2027-A-027,27,3,3.B,mcq4,SI,"HB §3.4 Plumes and Flames","NFPA 92-2024",NFPA 92-2024,apply,C,arithmetic
A,FPE-2027-A-028,28,3,3.B,mcq4,US,"HB §7.1 Fundamentals","NFPA 92-2024",NFPA 92-2024,apply,D,arithmetic
A,FPE-2027-A-029,29,3,3.B,mcq4,SI,"HB §7.3 Airflow","NFPA 92-2024",NFPA 92-2024,apply,A,arithmetic
A,FPE-2027-A-030,30,3,3.B,mcq4,US,"HB §7.3 Airflow","NFPA 92-2024",NFPA 92-2024,apply,B,concept
A,FPE-2027-A-031,31,3,3.C,mcq4,none,"HB §7.1 Fundamentals","NFPA 92-2024 Ch. 8",NFPA 92-2024,apply,C,code-edition
A,FPE-2027-A-032,32,3,3.C,mcq4,none,"HB §7.1 Fundamentals","NFPA 92-2024",NFPA 92-2024,apply,D,concept
A,FPE-2027-A-033,33,4,4.A,mcq4,none,"HB §6.1 General Information","NFPA 72-2022 Ch. 23 / Ch. 24",NFPA 72-2022,apply,A,concept
A,FPE-2027-A-034,34,4,4.A,mcq4,none,"HB §6.1 General Information","NFPA 72-2022",NFPA 72-2022,apply,B,concept
A,FPE-2027-A-035,35,4,4.B,mcq4,US,"HB §6.4 Heat Detector Spacing","NFPA 72-2022 Ch. 17",NFPA 72-2022,apply,C,code-edition
